university_name,program_name,level,intake_year,country_code,entry_qualification_accepted,foundation_required,foundation_providers,language_test,language_minimum_score,language_of_instruction,entrance_exam,entrance_exam_minimum,gpa_minimum,gpa_scale,tuition_per_year,currency,living_cost_estimate_per_year,application_fee,application_deadline,application_portal,documents_required,provenance,source_url,retrieved_at,last_checked,verified_by
Technical University of Munich,International undergraduate admission,bachelor,2026,DE,feststellungspruefung,true,Studienkolleg,,,German,Feststellungspruefung,,,,,,,,,TUMonline,"uni-assist Preliminary Documentation (VPD) required BEFORE applying to TUM. Source states: a school-leaving degree not comparable to the German university entrance qualification grants direct admission only after attending a Studienkolleg and passing the university qualification assessment examination.",claude-extracted,https://www.tum.de/en/studies/application/application-info-portal/higher-education-entrance-qualification/international-higher-education-entrance-qualification/,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
Heidelberg University,International undergraduate admission,bachelor,2026,DE,feststellungspruefung,true,Internationales Studienzentrum (Studienkolleg),German CEFR B2+,,German,Feststellungspruefung,,,,,,,,,heiCO,"uni-assist Vorpruefungsdokumentation required and valid one year. B2+ German required AT APPLICATION for the Studienkolleg, not only at enrolment. Studienkolleg runs two semesters. Sworn translation of the certificate into German or English required.",claude-extracted,https://www.uni-heidelberg.de/en/study/application-enrolment/study-requirements/studienkolleg-and-feststellungsprufung/admission-to-the-preparatory-course-studienkolleg-application-documents,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
University of Edinburgh,International undergraduate admission,bachelor,2026,GB,foundation_year,true,University of Edinburgh International Foundation Programme (IFP),IELTS,5.5,English,,,,,,,,,,UCAS,"Source states applicants from Azerbaijan with a Certificate of Secondary Education would normally be required to complete a foundation year. IELTS 5.5 with no band below 5.5 is the IFP entry requirement, not the degree requirement, which is higher and set per programme.",claude-extracted,https://www.ed.ac.uk/studying/international/country/asia/central-west-asia/other-countries,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
UCL,International undergraduate admission,bachelor,2026,GB,foundation_year,true,UCL Undergraduate Preparatory Certificates (UPC),,,English,,,4.5,5.0,,,,,,UCL CLIE,"Orta Tehsil Haqqinda Attestati accepted for UPC entry at minimum 4.5 overall and 5 in each required subject. The UPC is UCL's international foundation year, for students whose school qualification UCL does not accept for direct undergraduate entry.",claude-extracted,https://www.ucl.ac.uk/languages-international-education/preparation-courses/upc-foundation/entry-requirements/country,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
University of Manchester,International undergraduate admission (foundation route),bachelor,2026,GB,foundation_year,true,Manchester integrated foundation year; INTO Manchester,CEFR B2,,English,,,80.0,100,,,,,,UCAS,"Source states the High School Diploma is NOT accepted for direct entry. Science and Engineering integrated foundation year requires 80% overall with 80%+ in Maths and Physics. B2 is the UKVI minimum; individual Schools may require higher.",claude-extracted,https://www.manchester.ac.uk/study/international/country-specific-information/azerbaijan/entry-requirements/,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
University of Manchester,International undergraduate admission (first-year transfer route),bachelor,2026,GB,one_year_university,false,,CEFR B2,,English,,,,,,,,,,UCAS,"THE PREP-YEAR MECHANIC, CONFIRMED BY A UK UNIVERSITY NAMING AZERBAIJAN. Source states Manchester may also accept applicants who have completed the first year of an undergraduate degree in Azerbaijan into the first year of a bachelor degree. Recorded as a separate row because the schema holds one entry_qualification_accepted per row and this university accepts two distinct routes.",claude-extracted,https://www.manchester.ac.uk/study/international/country-specific-information/azerbaijan/entry-requirements/,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
Istanbul Technical University,International undergraduate admission,bachelor,2026,TR,attestat,false,,,,,ITU accepted exam,,,,,,,,,ITU Registrar,"Direct application on a secondary school curriculum equivalent to a Turkish high school. Application must carry one of the exam or diploma scores ITU lists; the specific list and minima were NOT readable from this page and are deliberately left blank. English proficiency is required at registration, or one year of English preparation at ITU. Applications usually open in August; no exact 2026 date was stated, so the deadline is left blank rather than guessed.",claude-extracted,https://www.sis.itu.edu.tr/EN/student/intenational-students/application.php,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
Bogazici University,International undergraduate admission,bachelor,2026,TR,attestat,false,,IELTS,6.5,English,TR-YOS,450.0,,,,EUR,,100.0,,Bogazici Office of International Relations,"Graduates of any institution equivalent to a Turkish high school may apply. One of SAT, TR-YOS or GCE A Levels is REQUIRED in addition to the diploma; the diploma alone does not suffice. TR-YOS minimum 450. SAT minima are programme-dependent: 1350/1600 with Math 700 for Engineering, 1300/1600 for Mathematics, Molecular Biology and Genetics, Chemistry and Physics, 1200/1600 for the Faculty of Education, 1300/1600 for all others; the schema holds one entrance_exam_minimum per row so the TR-YOS figure is recorded and the SAT bands are stated here. A Levels require grade A in three relevant subjects. IELTS Academic 6.5 overall with 6.5 writing, or TOEFL iBT 79 with writing 22; otherwise the English Preparatory Program. Scores valid two years. The currency EUR applies to the application fee of 100 EUR per programme, non-refundable; tuition for international students is NOT stated on this page. Deadline not stated on this page.",claude-extracted,https://intl.bogazici.edu.tr/required-documents-undergraduate-application,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
Tsinghua University,International undergraduate admission (Chinese-English taught),bachelor,2026,CN,attestat,false,,TOEFL or IELTS,,Chinese and English,HSK,5.0,,,,,,,,Tsinghua International Undergraduate Admissions,"A valid high school graduation certificate is accepted directly; no foundation year. Applicant must be a foreign citizen aged 18 or above by 1 September 2026. HSK level 5 or above with 60+ in each of Listening, Reading and Writing. An applicant holding HSK 4 at those sub-scores may be admitted but MUST reach HSK 5 within the first academic year or enrolment is terminated -- entrance_exam_minimum records the level 5 that is actually required to continue. Non-native English speakers must submit official TOEFL or IELTS results; no minimum score is stated on this page, so language_minimum_score is left blank. Entrance exam, interview, deadline, application fee and tuition are NOT stated on this page.",claude-extracted,https://international.join-tsinghua.edu.cn/Admission1/Eligibility.htm,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
Tsinghua University,International undergraduate admission (English-taught),bachelor,2026,CN,attestat,false,,TOEFL or IELTS,,English,,,,,,,,,,Tsinghua International Undergraduate Admissions,"A valid high school graduation certificate is accepted directly; no foundation year. Applicant must be a foreign citizen aged 18 or above by 1 September 2026. NO proof of Chinese language proficiency is required for English-taught programmes -- this is the distinction from the Chinese-English taught row and it is why the two are separate rows. Non-native English speakers must submit official TOEFL or IELTS results; the page requires 'a high level of English language proficiency' but states no minimum score, so language_minimum_score is left blank rather than approximated. Entrance exam, interview, deadline, application fee and tuition are NOT stated on this page.",claude-extracted,https://international.join-tsinghua.edu.cn/Admission1/Eligibility.htm,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
Harbin Institute of Technology,International undergraduate admission (Chinese-taught),bachelor,2026,CN,attestat,false,,,,Chinese,HSK,4.0,,,20000.0,CNY,,400.0,2026-07-15,https://hit.at0086.cn/student,"A high school diploma or above is accepted directly; no foundation year. HSK level 4 with a total score of 210 or above, valid two years; entrance_exam_minimum records the LEVEL (4) because the student profile carries HSK as a level, and the 210 sub-score is stated here so it is not lost. An applicant whose prior compulsory courses were taught in Chinese may submit a certificate of Chinese instruction instead of an HSK score. Applicants must be under 30, or under 25 for HIT Scholarship applicants. Application fee CNY 400 (USD 60) self-financed, CNY 600 (USD 90) for scholarship applicants; the self-financed figure is recorded. Deadline for the September 2026 intake is 15 July 2026. GPA thresholds are NOT stated.",claude-extracted,https://studyathit.hit.edu.cn/18358/list.htm,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,
