university_name,program_name,level,intake_year,country_code,entry_qualification_accepted,foundation_required,foundation_providers,language_test,language_minimum_score,language_of_instruction,entrance_exam,entrance_exam_minimum,gpa_minimum,gpa_scale,tuition_per_year,currency,living_cost_estimate_per_year,application_fee,application_deadline,application_portal,documents_required,provenance,source_url,retrieved_at,last_checked,verified_by,notes,requirement_scope,evidence
University of Science and Technology of China,Astronomy,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
University of Science and Technology of China,Atmospheric Science,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
University of Science and Technology of China,Electronic Information,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
University of Science and Technology of China,Geology,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
University of Science and Technology of China,Geophysics,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
University of Science and Technology of China,Optics Engineering,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
University of Science and Technology of China,Physics,master,2026,CN,bachelor_degree,,,English proficiency,,English,Department assessment,,,,30000,CNY,,,2026-01-31,USTC international application system,"Degree, transcripts, language evidence, proposal, references, passport.",claude-extracted,https://ic.ustc.edu.cn/?abroad=75,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,"2026 intake closed. Bachelor equivalent required. Numeric language minimum, application fee and total living costs are not published in this guide; departmental assessment applies.",degree,"[{""url"": ""https://ic.ustc.edu.cn/?abroad=75"", ""fields"": [""entry_qualification_accepted"", ""tuition_per_year"", ""currency"", ""application_deadline""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 master guide; annual tuition.""}, {""url"": ""https://ic.ustc.edu.cn/wp-content/uploads/2025/04/List-of-Masters-Programs-2026-English-Taught.pdf"", ""fields"": [""program_name"", ""language_of_instruction""], ""checked_at"": ""2026-09-15"", ""note"": ""Major in the English-taught 2026 list; research areas are not separate degrees.""}]"
Zhejiang University,Computer Science and Technology,master,2026,CN,bachelor_degree,,,English proficiency,,English,,,,,36800,CNY,,800,2026-02-28,https://intlstudent.zju.edu.cn/,"Degree, transcripts, language evidence, statement, academic references, passport.",claude-extracted,https://iczu.zju.edu.cn/admissionsen/2024/1030/c68989a2981849/page.htm,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,2026 self-funded deadline; CSC Type B had a separate 2025-12-31 deadline. Prioritised supervisor provisional acceptance. Three-year programme. Numeric language minimum and full living costs remain uncollected.,degree,"[{""url"": ""https://iczu.zju.edu.cn/admissionsen/2024/1030/c68989a2981849/page.htm"", ""fields"": [""entry_qualification_accepted"", ""application_deadline"", ""application_fee"", ""currency""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 international master guide.""}, {""url"": ""https://iczu.zju.edu.cn/_upload/article/files/32/c1/d48dfe1349279755c872b98ce7e1/aae5a919-1f07-4115-bb1c-db41ea36e1b0.pdf"", ""fields"": [""program_name"", ""language_of_instruction"", ""tuition_per_year"", ""notes""], ""checked_at"": ""2026-09-15"", ""note"": ""English programme table: fee is per year; supervisor condition differs by department.""}]"
Zhejiang University,Software Engineering,master,2026,CN,bachelor_degree,,,English proficiency,,English,,,,,36800,CNY,,800,2026-02-28,https://intlstudent.zju.edu.cn/,"Degree, transcripts, language evidence, statement, academic references, passport.",claude-extracted,https://iczu.zju.edu.cn/admissionsen/2024/1030/c68989a2981849/page.htm,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,2026 self-funded deadline; CSC Type B had a separate 2025-12-31 deadline. Prioritised supervisor provisional acceptance. Three-year programme. Numeric language minimum and full living costs remain uncollected.,degree,"[{""url"": ""https://iczu.zju.edu.cn/admissionsen/2024/1030/c68989a2981849/page.htm"", ""fields"": [""entry_qualification_accepted"", ""application_deadline"", ""application_fee"", ""currency""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 international master guide.""}, {""url"": ""https://iczu.zju.edu.cn/_upload/article/files/32/c1/d48dfe1349279755c872b98ce7e1/aae5a919-1f07-4115-bb1c-db41ea36e1b0.pdf"", ""fields"": [""program_name"", ""language_of_instruction"", ""tuition_per_year"", ""notes""], ""checked_at"": ""2026-09-15"", ""note"": ""English programme table: fee is per year; supervisor condition differs by department.""}]"
Zhejiang University,Cyberspace Security,master,2026,CN,bachelor_degree,,,English proficiency,,English,,,,,36800,CNY,,800,2026-02-28,https://intlstudent.zju.edu.cn/,"Degree, transcripts, language evidence, statement, academic references, passport.",claude-extracted,https://iczu.zju.edu.cn/admissionsen/2024/1030/c68989a2981849/page.htm,2026-09-15T00:00:00Z,2026-09-15T00:00:00Z,,2026 self-funded deadline; CSC Type B had a separate 2025-12-31 deadline. Prioritised supervisor provisional acceptance. Three-year programme. Numeric language minimum and full living costs remain uncollected.,degree,"[{""url"": ""https://iczu.zju.edu.cn/admissionsen/2024/1030/c68989a2981849/page.htm"", ""fields"": [""entry_qualification_accepted"", ""application_deadline"", ""application_fee"", ""currency""], ""checked_at"": ""2026-09-15"", ""note"": ""2026 international master guide.""}, {""url"": ""https://iczu.zju.edu.cn/_upload/article/files/32/c1/d48dfe1349279755c872b98ce7e1/aae5a919-1f07-4115-bb1c-db41ea36e1b0.pdf"", ""fields"": [""program_name"", ""language_of_instruction"", ""tuition_per_year"", ""notes""], ""checked_at"": ""2026-09-15"", ""note"": ""English programme table: fee is per year; supervisor condition differs by department.""}]"
