university_name,country_code,level,dp_bachelor_programmes,url,url_status,robots_status,carries,checked_at
Technical University of Munich,DE,bachelor,13,https://www.tum.de/en/studies/application/application-info-portal/higher-education-entrance-qualification/international-higher-education-entrance-qualification/,verified_200,allowed,Entry qualification equivalence; Studienkolleg and Feststellungspruefung rule; uni-assist VPD requirement,2026-09-02
Heidelberg University,DE,bachelor,7,https://www.uni-heidelberg.de/en/study/application-enrolment/study-requirements/studienkolleg-and-feststellungsprufung/admission-to-the-preparatory-course-studienkolleg-application-documents,verified_200,allowed,Studienkolleg admission documents; B2+ German at application; uni-assist VPD validity,2026-09-02
LMU Munich,DE,bachelor,6,https://www.lmu.de/en/study/degree-students/prerequisites/,verified_200,allowed,Entry qualification; Studienkolleg and Feststellungspruefung; B2 German to BEGIN the preparatory course in Bavaria. Deadlines and fees are on other pages and were not read.,2026-09-02
Humboldt University of Berlin,DE,bachelor,1,,url_not_yet_discovered,unknown,Entry qualification and Studienkolleg policy,
University of Edinburgh,GB,bachelor,33,https://www.ed.ac.uk/studying/international/country/asia/central-west-asia/other-countries,verified_200,refused_robots_403,"Azerbaijan named explicitly; foundation year normally required. THE AUTOMATED COLLECTOR MUST NOT FETCH THIS: ed.ac.uk returns HTTP 403 for robots.txt, so permission cannot be established and the fetcher refuses. The row in program_requirements_2026.csv was read once by a person, not crawled. Re-checking it is a manual task.",2026-09-02
UCL,GB,bachelor,20,https://www.ucl.ac.uk/languages-international-education/preparation-courses/upc-foundation/entry-requirements/country,verified_200,refused_robots_403,"Attestat grades accepted for the UPC foundation year (4.5 overall, 5 in each required subject). STATUS CHANGED 2026-09-04: ucl.ac.uk now returns HTTP 403 for robots.txt and was ALLOWED when checked on 2026-09-02, so the collector must no longer fetch it. UCL joins Edinburgh and Cambridge as manual-read-only -- three of our five UK sources. The existing row was read by a person while the site still permitted it and stands; re-checking it is now a manual task.",2026-09-04
University of Manchester,GB,bachelor,19,https://www.manchester.ac.uk/study/international/country-specific-information/azerbaijan/entry-requirements/,verified_200,allowed,Azerbaijan country page; foundation routes AND the first-year-transfer route,2026-09-02
University of Cambridge,GB,bachelor,20,https://www.undergraduate.study.cam.ac.uk/international-students/international-entry-requirements,verified_200,refused_robots_403,"AZERBAIJAN IS NOT IN CAMBRIDGE'S COUNTRY LIST. The page states 'If your country/region is not listed, it is likely that your local/national qualifications are not accepted', and names 'first year of undergraduate study outside the UK' among the qualifications it does accept -- a second UK university confirming the prep-year mechanic and refusing the attestat. English minima are on a separate page not yet read. THE AUTOMATED COLLECTOR MUST NOT FETCH THIS: undergraduate.study.cam.ac.uk returns HTTP 403 for robots.txt, exactly like ed.ac.uk, so permission cannot be established and the fetcher refuses. This row was read once by a person, not crawled; re-checking it is a manual task.",2026-09-02
Imperial College London,GB,bachelor,19,,url_not_yet_discovered,unknown,Entry qualification for Azerbaijani applicants,
Istanbul Technical University,TR,bachelor,29,https://www.sis.itu.edu.tr/EN/student/intenational-students/application.php,verified_200,allowed,International undergraduate application conditions,2026-09-02
Istanbul Technical University,TR,bachelor,29,https://www.sis.itu.edu.tr/EN/regulations/valid-exam-results.php,discovered_not_yet_read,allowed,The valid exam list and minimum scores left blank in the ITU row,2026-09-02
Ankara University,TR,bachelor,24,,url_not_yet_discovered,unknown,International undergraduate admission requirements,
